"EventId","Rank","Name","Alliance","Score","UserId"
"120022","25","Kung Fu Yoda","DEFl","379270","1912186114002009"
"120022","26","Beat It","DEFl","359600","1155608505002009"
"120022","27","Back2Back 도돌이","fLAG","328800","1375312053002009"
"120022","28","FLuFFy 멍멍","DEFl","320800","1171733078002009"
"120022","29","카두바 caduba","DEFl","317420","1181086471002009"
"120022","30","GhostTaxi  령","DEFl","308600","1156831515002009"
"120022","31","MetalFace Stone","DEFl","305170","1243117540002009"
"120022","32","OG COTN MFKER","DEFl","301650","1670546139002009"
"120022","33","EMPYRE","DEFl","281260","1924277001002009"
"120022","34","IveGotBeef 햄버거","DEFl","274860","1882477040002009"
"120022","35","Abz ツ","DEFl","273900","1798612518002009"
"120022","36","Odogg20100","DEFl","265600","1915304141002009"
"120022","37","Sparta2966","DEFl","255490","1350762850002009"
"120022","38","Commander 39c132009","","254270","1810943858002009"
"120022","39","Kredio","DEFl","243600","1428508013002009"
"120022","40","Junior Vorani","DEFl","242210","1398218860002009"
"120022","41","Fugarewe","DEFl","233010","1047789677002009"
"120022","42","zekai66","DEFl","228380","1909069627002009"
"120022","43","PORKYWAFFLE","DEFl","223810","2168179349002009"
"120022","44","BoffaDeezzz 両玉","DEFl","223090","1955344177002009"
"120022","45","Masterball1","DEFl","218580","1282191033001997"
"120022","46","ADMIN V","DEFl","216100","1513152871002009"
"120022","47","VenomVisíon","DEFl","188220","1396639825002009"
"120022","48","풀잎love","DEFl","183470","1912489501002009"
"120022","49","Dragonfly5280","DEFl","175200","1868610843002009"
"120022","50","Magician 쿠","DEFl","173400","1895981985002009"
"120022","51","Capt ジョシュ","DEFl","172050","1955984446002009"
"120022","52","Stephy0255","DEFl","169980","1169494008002001"
"120022","53","뚤ddulღ","DEFl","162670","1238891291002009"
"120022","54","Asmodean76","DEFl","151500","1339444241002009"
"120022","55","호세카 hosecar","DEFl","143260","1252757549002009"
"120022","56","亗 Ganssup","KTHR","128170","1105966165002009"
"120022","57","kdashh22","DEFl","127520","1113719835002009"
"120022","58","AccuracY","DEFl","125220","1418302934002009"
"120022","59","ElusiveSavvy","DEFl","122430","1621795100002009"
"120022","60","pretty 이쁜엿옹","DEFl","122090","1879664984002009"
"120022","61","5H13LDUR53LF","DEFl","121800","1217994156002009"
"120022","62","Ravėn","DEFl","116790","1086099410002001"
"120022","63","YïppeeKïYAY MF","DEFl","111600","2167178556002009"
"120022","64","BoffaDozzeee です","DEFl","110510","1412019391002009"
"120022","65","Sal51","DEFl","110040","1465387733002009"
"120022","66","WheresDaBeef 암소","DEFl","101200","1418400186002009"
"120022","67","Santtos7","DEFl","100880","1782850244002009"
"120022","68","Äāmøň","DEFl","100800","1783142248002009"
"120022","69","Major Boom Shakalaka","DEFl","100800","1724153165002009"
"120022","70","Crunk Jr","DEFl","98260","1353411104002009"
"120022","71","Advillain","DEFl","96650","1881113463002009"
"120022","72","JSSJ2026","DEFl","96600","1833496775002009"
"120022","73","ChKnMcStu 卡津","DEFl","95530","1864788746002009"
"120022","74","NicocoLetsGoPSG","DEFl","94060","1207146206002009"
"120022","75","Lord Hulkster","DEFl","92270","1597493214002001"
"120022","76","Nuke Doctor","DEFl","91200","1955890708002009"
"120022","77","Brbsmoke","DEFl","88500","1955909125002009"
"120022","78","Guapo III","DEFl","84820","1955858114002009"
